Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
114		0.1506		0.2455		0.0000		0.7260		0.00023638
115		0.1466		0.2394		0.0000		0.7381		0.00023393
116		0.1432		0.2570		0.0000		0.7361		0.00023148
117		0.1446		0.2420		0.0000		0.7310		0.00022903
118		0.1423		0.2951		0.0000		0.7216		0.00022658
119		0.1420		0.2418		0.0000		0.7257		0.00022412
120		0.1417		0.2369		0.0000		0.7419		0.00022166
121		0.1404		0.2244		0.0000		0.7352		0.00021919
122		0.1426		0.2302		0.0000		0.7414		0.00021672
123		0.1405		0.2406		0.0000		0.7391		0.00021425
124		0.1395		0.2280		0.0000		0.7389		0.00021178
125		0.1399		0.2345		0.0000		0.7392		0.00020930
126		0.1394		0.2532		0.0000		0.7350		0.00020682
127		0.1396		0.2493		0.0000		0.7334		0.00020434
128		0.1495		0.2278		0.0000		0.7228		0.00020185
129		0.1409		0.2400		0.0000		0.7424		0.00019936
130		0.1392		0.2648		0.0000		0.7307		0.00019687
131		0.1381		0.2577		0.0000		0.7304		0.00019437
132		0.1381		0.2430		0.0000		0.7442		0.00019187
133		0.1349		0.2470		0.0000		0.7410		0.00018937
134		0.1340		0.2437		0.0000		0.7362		0.00018686
135		0.1349		0.2417		0.0000		0.7383		0.00018435
136		0.1353		0.2390		0.0000		0.7316		0.00018183
137		0.1337		0.2468		0.0000		0.7364		0.00017931
138		0.1358		0.2455		0.0000		0.7213		0.00017679
139		0.1372		0.2420		0.0000		0.7367		0.00017426
140		0.1329		0.2647		0.0000		0.7301		0.00017173
141		0.1329		0.2619		0.0000		0.7325		0.00016919
142		0.1322		0.2402		0.0000		0.7332		0.00016665
143		0.1340		0.2398		0.0000		0.7349		0.00016411
144		0.1327		0.2362		0.0000		0.7417		0.00016156
145		0.1337		0.2547		0.0000		0.7304		0.00015901
146		0.1325		0.2529		0.0000		0.7388		0.00015645
147		0.1311		0.2525		0.0000		0.7383		0.00015389
148		0.1301		0.2799		0.0000		0.7240		0.00015132
149		0.1301		0.2638		0.0000		0.7353		0.00014875
150		0.1287		0.2579		0.0000		0.7391		0.00014617
151		0.1288		0.2377		0.0000		0.7451		0.00014359
152		0.1294		0.2615		0.0000		0.7364		0.00014100
153		0.1283		0.2634		0.0000		0.7404		0.00013841
154		0.1288		0.2548		0.0000		0.7358		0.00013581
155		0.1288		0.2642		0.0000		0.7391		0.00013321
156		0.1275		0.2475		0.0000		0.7416		0.00013060
157		0.1267		0.2669		0.0000		0.7294		0.00012798
158		0.1267		0.2467		0.0000		0.7413		0.00012536
159		0.1270		0.2575		0.0000		0.7391		0.00012273
160		0.1268		0.2710		0.0000		0.7269		0.00012010
161		0.1261		0.2560		0.0000		0.7428		0.00011746
162		0.1250		0.2576		0.0000		0.7377		0.00011482
