Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
114		0.1609		0.2790		0.0000		0.6489		0.00023638
115		0.1505		0.2572		0.0000		0.6750		0.00023393
116		0.1429		0.2599		0.0000		0.6847		0.00023148
117		0.1449		0.2686		0.0000		0.6670		0.00022903
118		0.1438		0.2635		0.0000		0.6699		0.00022658
119		0.1388		0.2971		0.0000		0.6245		0.00022412
120		0.1466		0.2615		0.0000		0.6592		0.00022166
121		0.1426		0.3143		0.0000		0.6442		0.00021919
122		0.1473		0.2694		0.0000		0.6591		0.00021672
123		0.1401		0.2872		0.0000		0.6551		0.00021425
124		0.1402		0.2712		0.0000		0.6710		0.00021178
125		0.1357		0.2538		0.0000		0.6823		0.00020930
126		0.1608		0.2697		0.0000		0.6580		0.00020682
127		0.1440		0.3052		0.0000		0.6071		0.00020434
128		0.1374		0.2862		0.0000		0.6616		0.00020185
129		0.1627		0.2643		0.0000		0.6751		0.00019936
130		0.1411		0.2593		0.0000		0.6808		0.00019687
131		0.1346		0.2667		0.0000		0.6892		0.00019437
132		0.1376		0.2666		0.0000		0.6763		0.00019187
133		0.1542		0.2675		0.0000		0.6638		0.00018937
134		0.1376		0.2643		0.0000		0.6726		0.00018686
135		0.1343		0.2575		0.0000		0.6888		0.00018435
136		0.1318		0.2614		0.0000		0.6813		0.00018183
137		0.1315		0.2652		0.0000		0.6783		0.00017931
138		0.1312		0.2736		0.0000		0.6711		0.00017679
139		0.1331		0.2751		0.0000		0.6793		0.00017426
140		0.1466		0.2790		0.0000		0.6496		0.00017173
141		0.1379		0.2530		0.0000		0.6821		0.00016919
142		0.1320		0.2632		0.0000		0.6817		0.00016665
143		0.1305		0.2669		0.0000		0.6849		0.00016411
144		0.1306		0.2621		0.0000		0.6824		0.00016156
145		0.1417		0.2725		0.0000		0.6573		0.00015901
146		0.1454		0.2699		0.0000		0.6806		0.00015645
147		0.1301		0.2732		0.0000		0.6589		0.00015389
148		0.1272		0.2588		0.0000		0.6897		0.00015132
149		0.1292		0.2595		0.0000		0.6838		0.00014875
150		0.1309		0.2613		0.0000		0.6803		0.00014617
151		0.1266		0.2646		0.0000		0.6852		0.00014359
152		0.1251		0.2634		0.0000		0.6796		0.00014100
153		0.1274		0.2672		0.0000		0.6734		0.00013841
154		0.1271		0.2862		0.0000		0.6542		0.00013581
155		0.1299		0.2699		0.0000		0.6774		0.00013321
156		0.1268		0.2696		0.0000		0.6810		0.00013060
157		0.1266		0.2668		0.0000		0.6691		0.00012798
158		0.1255		0.2573		0.0000		0.6852		0.00012536
159		0.1245		0.2706		0.0000		0.6803		0.00012273
160		0.1247		0.2615		0.0000		0.6812		0.00012010
161		0.1222		0.2597		0.0000		0.6864		0.00011746
162		0.1231		0.2616		0.0000		0.6801		0.00011482
163		0.1224		0.2566		0.0000		0.6899		0.00011216
164		0.1215		0.2695		0.0000		0.6710		0.00010950
165		0.1217		0.2693		0.0000		0.6780		0.00010684
166		0.1203		0.2788		0.0000		0.6767		0.00010416
167		0.1215		0.2650		0.0000		0.6897		0.00010148
168		0.1210		0.2584		0.0000		0.6858		0.00009879
169		0.1214		0.2723		0.0000		0.6818		0.00009609
170		0.1209		0.2734		0.0000		0.6778		0.00009338
171		0.1194		0.2621		0.0000		0.6821		0.00009067
172		0.1178		0.2660		0.0000		0.6880		0.00008794
173		0.1195		0.2777		0.0000		0.6838		0.00008521
174		0.1177		0.2608		0.0000		0.6941		0.00008247
175		0.1164		0.2670		0.0000		0.6835		0.00007971
176		0.1164		0.2638		0.0000		0.6905		0.00007695
177		0.1168		0.2677		0.0000		0.6825		0.00007417
178		0.1163		0.2636		0.0000		0.6912		0.00007138
179		0.1161		0.2629		0.0000		0.6901		0.00006858
180		0.1145		0.2667		0.0000		0.6918		0.00006577
181		0.1148		0.2725		0.0000		0.6883		0.00006295
182		0.1140		0.2676		0.0000		0.6894		0.00006011
183		0.1136		0.2663		0.0000		0.6904		0.00005725
184		0.1132		0.2660		0.0000		0.6862		0.00005438
185		0.1139		0.2654		0.0000		0.6909		0.00005149
186		0.1130		0.2678		0.0000		0.6906		0.00004859
187		0.1123		0.2689		0.0000		0.6917		0.00004566
