Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
113		0.1587		0.2660		0.0000		0.6380		0.00023882
114		0.1449		0.2625		0.0000		0.6432		0.00023638
115		0.1476		0.3076		0.0000		0.5770		0.00023393
116		0.1487		0.2477		0.0000		0.6475		0.00023148
117		0.1590		0.2704		0.0000		0.6201		0.00022903
118		0.1488		0.2497		0.0000		0.6483		0.00022658
119		0.1389		0.2470		0.0000		0.6505		0.00022412
120		0.1422		0.2704		0.0000		0.6391		0.00022166
121		0.1554		0.2783		0.0000		0.6041		0.00021919
122		0.1428		0.2540		0.0000		0.6567		0.00021672
123		0.1392		0.2554		0.0000		0.6476		0.00021425
124		0.1400		0.2504		0.0000		0.6460		0.00021178
125		0.1469		0.3110		0.0000		0.5790		0.00020930
126		0.1541		0.2623		0.0000		0.6286		0.00020682
127		0.1460		0.2610		0.0000		0.6427		0.00020434
128		0.1354		0.2844		0.0000		0.6145		0.00020185
129		0.1389		0.2685		0.0000		0.6218		0.00019936
130		0.1355		0.2610		0.0000		0.6521		0.00019687
131		0.1450		0.2494		0.0000		0.6534		0.00019437
132		0.1347		0.2630		0.0000		0.6546		0.00019187
133		0.1352		0.2525		0.0000		0.6418		0.00018937
134		0.1323		0.2489		0.0000		0.6556		0.00018686
135		0.1342		0.2656		0.0000		0.6379		0.00018435
136		0.1461		0.2432		0.0000		0.6677		0.00018183
137		0.1312		0.2588		0.0000		0.6556		0.00017931
138		0.1298		0.2464		0.0000		0.6540		0.00017679
139		0.1333		0.2696		0.0000		0.6402		0.00017426
140		0.1317		0.2488		0.0000		0.6580		0.00017173
141		0.1346		0.2508		0.0000		0.6535		0.00016919
142		0.1309		0.2481		0.0000		0.6482		0.00016665
143		0.1306		0.2431		0.0000		0.6581		0.00016411
144		0.1278		0.2435		0.0000		0.6649		0.00016156
145		0.1302		0.2518		0.0000		0.6448		0.00015901
146		0.1309		0.2564		0.0000		0.6449		0.00015645
147		0.1315		0.2762		0.0000		0.6264		0.00015389
148		0.1279		0.2491		0.0000		0.6598		0.00015132
149		0.1245		0.2547		0.0000		0.6506		0.00014875
150		0.1260		0.2655		0.0000		0.6465		0.00014617
151		0.1280		0.2500		0.0000		0.6589		0.00014359
152		0.1263		0.2460		0.0000		0.6591		0.00014100
153		0.1226		0.2513		0.0000		0.6456		0.00013841
154		0.1216		0.2499		0.0000		0.6613		0.00013581
155		0.1219		0.2559		0.0000		0.6571		0.00013321
156		0.1366		0.2519		0.0000		0.6444		0.00013060
157		0.1262		0.2392		0.0000		0.6730		0.00012798
158		0.1202		0.2408		0.0000		0.6760		0.00012536
159		0.1195		0.2395		0.0000		0.6721		0.00012273
160		0.1233		0.2441		0.0000		0.6672		0.00012010
161		0.1199		0.2479		0.0000		0.6587		0.00011746
162		0.1200		0.2418		0.0000		0.6760		0.00011482
163		0.1168		0.2417		0.0000		0.6729		0.00011216
164		0.1166		0.2414		0.0000		0.6761		0.00010950
165		0.1169		0.2418		0.0000		0.6660		0.00010684
166		0.1173		0.2583		0.0000		0.6615		0.00010416
167		0.1148		0.2390		0.0000		0.6692		0.00010148
168		0.1142		0.2387		0.0000		0.6709		0.00009879
169		0.1231		0.2425		0.0000		0.6633		0.00009609
170		0.1149		0.2409		0.0000		0.6713		0.00009338
171		0.1128		0.2402		0.0000		0.6739		0.00009067
172		0.1122		0.2377		0.0000		0.6765		0.00008794
173		0.1128		0.2460		0.0000		0.6671		0.00008521
174		0.1140		0.2554		0.0000		0.6549		0.00008247
175		0.1110		0.2445		0.0000		0.6754		0.00007971
176		0.1116		0.2423		0.0000		0.6785		0.00007695
177		0.1159		0.2454		0.0000		0.6755		0.00007417
178		0.1096		0.2456		0.0000		0.6769		0.00007138
179		0.1093		0.2435		0.0000		0.6730		0.00006858
180		0.1082		0.2423		0.0000		0.6796		0.00006577
181		0.1081		0.2486		0.0000		0.6750		0.00006295
182		0.1078		0.2401		0.0000		0.6805		0.00006011
183		0.1071		0.2455		0.0000		0.6772		0.00005725
184		0.1070		0.2426		0.0000		0.6748		0.00005438
185		0.1064		0.2420		0.0000		0.6773		0.00005149
186		0.1057		0.2414		0.0000		0.6735		0.00004859
187		0.1053		0.2399		0.0000		0.6781		0.00004566
188		0.1047		0.2429		0.0000		0.6734		0.00004272
189		0.1044		0.2492		0.0000		0.6754		0.00003975
190		0.1039		0.2494		0.0000		0.6730		0.00003675
191		0.1044		0.2433		0.0000		0.6757		0.00003373
192		0.1032		0.2433		0.0000		0.6813		0.00003068
193		0.1024		0.2520		0.0000		0.6752		0.00002759
194		0.1025		0.2461		0.0000		0.6782		0.00002447
195		0.1017		0.2395		0.0000		0.6831		0.00002130
196		0.1013		0.2414		0.0000		0.6816		0.00001808
197		0.1014		0.2445		0.0000		0.6776		0.00001479
198		0.1002		0.2413		0.0000		0.6820		0.00001141
199		0.1001		0.2423		0.0000		0.6801		0.00000792
200		0.0998		0.2420		0.0000		0.6806		0.00000425
