Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
52		0.2946		0.4483		0.0000		0.5664		0.00038363
53		0.2990		0.4351		0.0000		0.5630		0.00038131
54		0.2736		0.4281		0.0000		0.5718		0.00037899
55		0.2677		0.4067		0.0000		0.5765		0.00037667
56		0.2536		0.3732		0.0000		0.5689		0.00037435
57		0.2512		0.3952		0.0000		0.5866		0.00037202
58		0.2599		0.4491		0.0000		0.5717		0.00036970
59		0.2664		0.4509		0.0000		0.5736		0.00036737
60		0.2608		0.4296		0.0000		0.5727		0.00036504
61		0.2444		0.4009		0.0000		0.5906		0.00036271
62		0.2404		0.4620		0.0000		0.5735		0.00036038
63		0.2563		0.4262		0.0000		0.5866		0.00035804
64		0.2417		0.3642		0.0000		0.5979		0.00035571
65		0.2381		0.3461		0.0000		0.5773		0.00035337
66		0.2286		0.3933		0.0000		0.5800		0.00035103
67		0.2653		0.3780		0.0000		0.5925		0.00034869
68		0.2378		0.3942		0.0000		0.5739		0.00034635
69		0.3012		0.5687		0.0000		0.5308		0.00034400
70		0.2743		0.3825		0.0000		0.5718		0.00034165
71		0.2835		0.4885		0.0000		0.5745		0.00033931
72		0.2527		0.4158		0.0000		0.5840		0.00033696
73		0.2332		0.3895		0.0000		0.5829		0.00033460
74		0.2212		0.3548		0.0000		0.5901		0.00033225
75		0.2139		0.3996		0.0000		0.6095		0.00032990
76		0.2140		0.3798		0.0000		0.5958		0.00032754
77		0.2246		0.4196		0.0000		0.5853		0.00032518
78		0.2140		0.3580		0.0000		0.6060		0.00032282
79		0.2136		0.3921		0.0000		0.6083		0.00032045
80		0.2078		0.3842		0.0000		0.6153		0.00031809
81		0.2111		0.3909		0.0000		0.6032		0.00031572
82		0.2054		0.4600		0.0000		0.6015		0.00031335
83		0.2131		0.4647		0.0000		0.5958		0.00031098
84		0.1977		0.4163		0.0000		0.6078		0.00030861
85		0.1948		0.3822		0.0000		0.6128		0.00030624
86		0.1974		0.3687		0.0000		0.5992		0.00030386
87		0.1958		0.4245		0.0000		0.6087		0.00030148
88		0.2148		0.4147		0.0000		0.5903		0.00029910
89		0.1969		0.4065		0.0000		0.5907		0.00029671
90		0.1895		0.3624		0.0000		0.6140		0.00029433
91		0.1925		0.4388		0.0000		0.6025		0.00029194
92		0.1896		0.4196		0.0000		0.6031		0.00028955
93		0.1879		0.4115		0.0000		0.6092		0.00028716
94		0.1955		0.4045		0.0000		0.6130		0.00028477
95		0.1919		0.3862		0.0000		0.6058		0.00028237
96		0.1891		0.4009		0.0000		0.6041		0.00027997
97		0.1884		0.3682		0.0000		0.6050		0.00027757
98		0.1824		0.3993		0.0000		0.6120		0.00027517
99		0.1820		0.3492		0.0000		0.6081		0.00027276
100		0.1780		0.3782		0.0000		0.6044		0.00027035
101		0.1828		0.4184		0.0000		0.6115		0.00026794
102		0.1986		0.3775		0.0000		0.6236		0.00026553
103		0.1943		0.3959		0.0000		0.6069		0.00026312
104		0.1878		0.3477		0.0000		0.6174		0.00026070
105		0.1782		0.4674		0.0000		0.6210		0.00025828
106		0.1796		0.4126		0.0000		0.6170		0.00025586
107		0.1791		0.3724		0.0000		0.6178		0.00025343
108		0.1748		0.3779		0.0000		0.6113		0.00025100
109		0.1731		0.4063		0.0000		0.6148		0.00024857
110		0.1734		0.3933		0.0000		0.6199		0.00024614
111		0.1814		0.3704		0.0000		0.6161		0.00024370
112		0.1879		0.4285		0.0000		0.6161		0.00024126
113		0.1721		0.3918		0.0000		0.6036		0.00023882
114		0.1671		0.3798		0.0000		0.6171		0.00023638
115		0.1716		0.3998		0.0000		0.6208		0.00023393
116		0.1651		0.4222		0.0000		0.6130		0.00023148
117		0.1642		0.3714		0.0000		0.6241		0.00022903
118		0.1657		0.4037		0.0000		0.6159		0.00022658
119		0.1639		0.4118		0.0000		0.6169		0.00022412
120		0.1733		0.4213		0.0000		0.6229		0.00022166
121		0.1641		0.4157		0.0000		0.6239		0.00021919
122		0.1616		0.4243		0.0000		0.6252		0.00021672
123		0.1624		0.4106		0.0000		0.6230		0.00021425
124		0.1846		0.3873		0.0000		0.6077		0.00021178
125		0.1632		0.4515		0.0000		0.6110		0.00020930
126		0.1647		0.3985		0.0000		0.6133		0.00020682
127		0.1591		0.4277		0.0000		0.6140		0.00020434
128		0.1587		0.3982		0.0000		0.6123		0.00020185
129		0.1565		0.3811		0.0000		0.6212		0.00019936
130		0.1680		0.4279		0.0000		0.6209		0.00019687
131		0.1633		0.4058		0.0000		0.6180		0.00019437
132		0.1835		0.4464		0.0000		0.6021		0.00019187
133		0.2012		0.5361		0.0000		0.6018		0.00018937
134		0.1770		0.3820		0.0000		0.6288		0.00018686
135		0.1615		0.3700		0.0000		0.6222		0.00018435
136		0.1552		0.3776		0.0000		0.6265		0.00018183
137		0.1539		0.3987		0.0000		0.6243		0.00017931
138		0.1517		0.3696		0.0000		0.6247		0.00017679
139		0.1520		0.3794		0.0000		0.6173		0.00017426
140		0.1508		0.4254		0.0000		0.6297		0.00017173
141		0.1517		0.3727		0.0000		0.6212		0.00016919
142		0.1513		0.3477		0.0000		0.6309		0.00016665
143		0.1484		0.3878		0.0000		0.6325		0.00016411
144		0.1454		0.3875		0.0000		0.6338		0.00016156
145		0.1457		0.3799		0.0000		0.6251		0.00015901
146		0.1467		0.3951		0.0000		0.6247		0.00015645
147		0.1458		0.3814		0.0000		0.6351		0.00015389
148		0.1435		0.3704		0.0000		0.6285		0.00015132
149		0.1455		0.3937		0.0000		0.6236		0.00014875
150		0.1454		0.3777		0.0000		0.6222		0.00014617
151		0.1442		0.4003		0.0000		0.6318		0.00014359
152		0.1445		0.4125		0.0000		0.6306		0.00014100
153		0.1460		0.4172		0.0000		0.6206		0.00013841
154		0.1441		0.3931		0.0000		0.6307		0.00013581
155		0.1434		0.4184		0.0000		0.6365		0.00013321
156		0.1432		0.3926		0.0000		0.6275		0.00013060
157		0.1416		0.4194		0.0000		0.6279		0.00012798
158		0.1423		0.4246		0.0000		0.6288		0.00012536
