Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
110		0.1770		0.7392		0.0000		0.5493		0.00024614
111		0.1695		0.5906		0.0000		0.5531		0.00024370
112		0.1771		0.6333		0.0000		0.5571		0.00024126
113		0.1864		0.6647		0.0000		0.5580		0.00023882
114		0.1733		0.5873		0.0000		0.5602		0.00023638
115		0.1698		0.6425		0.0000		0.5527		0.00023393
116		0.1642		0.5564		0.0000		0.5623		0.00023148
117		0.1651		0.5951		0.0000		0.5607		0.00022903
118		0.1683		0.6287		0.0000		0.5668		0.00022658
119		0.1616		0.5765		0.0000		0.5610		0.00022412
120		0.1660		0.5737		0.0000		0.5685		0.00022166
121		0.1638		0.5593		0.0000		0.5646		0.00021919
122		0.1597		0.5773		0.0000		0.5640		0.00021672
123		0.1611		0.5797		0.0000		0.5608		0.00021425
124		0.1618		0.6011		0.0000		0.5534		0.00021178
125		0.1674		0.6350		0.0000		0.5586		0.00020930
126		0.1680		0.6296		0.0000		0.5604		0.00020682
127		0.1526		0.6206		0.0000		0.5712		0.00020434
128		0.1570		0.6240		0.0000		0.5639		0.00020185
129		0.1646		0.6569		0.0000		0.5680		0.00019936
130		0.1533		0.5909		0.0000		0.5642		0.00019687
131		0.1494		0.6220		0.0000		0.5671		0.00019437
132		0.1520		0.5803		0.0000		0.5615		0.00019187
133		0.1578		0.6631		0.0000		0.5601		0.00018937
134		0.1532		0.5850		0.0000		0.5589		0.00018686
135		0.1520		0.6588		0.0000		0.5683		0.00018435
136		0.1455		0.6212		0.0000		0.5669		0.00018183
137		0.1444		0.7004		0.0000		0.5581		0.00017931
138		0.1454		0.6297		0.0000		0.5639		0.00017679
139		0.1405		0.6733		0.0000		0.5581		0.00017426
140		0.1443		0.6821		0.0000		0.5599		0.00017173
141		0.1462		0.6748		0.0000		0.5569		0.00016919
142		0.1456		0.6162		0.0000		0.5669		0.00016665
143		0.1410		0.6875		0.0000		0.5594		0.00016411
144		0.1431		0.6975		0.0000		0.5678		0.00016156
145		0.1370		0.6822		0.0000		0.5649		0.00015901
146		0.1371		0.6969		0.0000		0.5649		0.00015645
147		0.1398		0.6502		0.0000		0.5619		0.00015389
148		0.1391		0.7021		0.0000		0.5612		0.00015132
149		0.1381		0.6387		0.0000		0.5670		0.00014875
150		0.1460		0.6601		0.0000		0.5635		0.00014617
151		0.1630		0.6757		0.0000		0.5595		0.00014359
152		0.1384		0.6236		0.0000		0.5610		0.00014100
153		0.1308		0.6318		0.0000		0.5613		0.00013841
154		0.1342		0.6195		0.0000		0.5694		0.00013581
155		0.1334		0.6631		0.0000		0.5819		0.00013321
156		0.1345		0.6177		0.0000		0.5707		0.00013060
157		0.1249		0.7088		0.0000		0.5756		0.00012798
158		0.1288		0.6811		0.0000		0.5696		0.00012536
159		0.1290		0.6530		0.0000		0.5688		0.00012273
160		0.1313		0.6839		0.0000		0.5708		0.00012010
161		0.1269		0.6815		0.0000		0.5785		0.00011746
162		0.1244		0.6947		0.0000		0.5736		0.00011482
163		0.1258		0.6666		0.0000		0.5755		0.00011216
164		0.1342		0.6928		0.0000		0.5714		0.00010950
165		0.1313		0.7094		0.0000		0.5725		0.00010684
166		0.1240		0.6662		0.0000		0.5764		0.00010416
167		0.1253		0.6578		0.0000		0.5734		0.00010148
168		0.1231		0.6805		0.0000		0.5702		0.00009879
169		0.1312		0.6736		0.0000		0.5699		0.00009609
170		0.1414		0.6530		0.0000		0.5672		0.00009338
171		0.1231		0.7060		0.0000		0.5724		0.00009067
172		0.1275		0.6362		0.0000		0.5766		0.00008794
173		0.1247		0.6677		0.0000		0.5754		0.00008521
174		0.1253		0.6933		0.0000		0.5726		0.00008247
175		0.1190		0.6786		0.0000		0.5753		0.00007971
176		0.1184		0.6722		0.0000		0.5779		0.00007695
177		0.1166		0.6619		0.0000		0.5794		0.00007417
178		0.1181		0.6949		0.0000		0.5736		0.00007138
179		0.1163		0.6592		0.0000		0.5781		0.00006858
180		0.1098		0.6786		0.0000		0.5772		0.00006577
181		0.1181		0.6585		0.0000		0.5756		0.00006295
182		0.1114		0.6851		0.0000		0.5751		0.00006011
183		0.1133		0.6761		0.0000		0.5763		0.00005725
184		0.1133		0.6704		0.0000		0.5780		0.00005438
185		0.1180		0.6901		0.0000		0.5720		0.00005149
186		0.1135		0.6766		0.0000		0.5744		0.00004859
187		0.1102		0.6393		0.0000		0.5820		0.00004566
188		0.1090		0.6600		0.0000		0.5837		0.00004272
189		0.1070		0.6614		0.0000		0.5798		0.00003975
190		0.1072		0.6947		0.0000		0.5811		0.00003675
191		0.1083		0.6776		0.0000		0.5822		0.00003373
