Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
114		0.1514		0.2604		0.0000		0.6703		0.00023638
115		0.1492		0.2726		0.0000		0.6546		0.00023393
116		0.1497		0.2703		0.0000		0.6720		0.00023148
117		0.1603		0.2724		0.0000		0.6672		0.00022903
118		0.1656		0.2516		0.0000		0.6682		0.00022658
119		0.1475		0.2585		0.0000		0.6670		0.00022412
120		0.1528		0.2696		0.0000		0.6681		0.00022166
121		0.1705		0.2647		0.0000		0.6551		0.00021919
122		0.1543		0.2610		0.0000		0.6745		0.00021672
123		0.1518		0.2556		0.0000		0.6679		0.00021425
124		0.1460		0.2620		0.0000		0.6740		0.00021178
125		0.1451		0.2623		0.0000		0.6676		0.00020930
126		0.1450		0.2671		0.0000		0.6741		0.00020682
127		0.1593		0.2614		0.0000		0.6677		0.00020434
128		0.1684		0.2636		0.0000		0.6537		0.00020185
129		0.1507		0.2559		0.0000		0.6847		0.00019936
130		0.1438		0.2528		0.0000		0.6856		0.00019687
131		0.1428		0.2673		0.0000		0.6721		0.00019437
132		0.1498		0.2596		0.0000		0.6724		0.00019187
133		0.1474		0.2652		0.0000		0.6801		0.00018937
134		0.1450		0.2690		0.0000		0.6683		0.00018686
135		0.1616		0.2663		0.0000		0.6660		0.00018435
136		0.1440		0.2495		0.0000		0.6922		0.00018183
137		0.1403		0.2679		0.0000		0.6642		0.00017931
138		0.1414		0.2621		0.0000		0.6757		0.00017679
139		0.1429		0.2600		0.0000		0.6868		0.00017426
140		0.1390		0.2527		0.0000		0.6924		0.00017173
141		0.1375		0.2602		0.0000		0.6764		0.00016919
142		0.1440		0.2555		0.0000		0.6864		0.00016665
143		0.1458		0.2839		0.0000		0.6484		0.00016411
144		0.1647		0.2656		0.0000		0.6693		0.00016156
145		0.1478		0.2551		0.0000		0.6728		0.00015901
146		0.1367		0.2539		0.0000		0.6837		0.00015645
147		0.1375		0.2659		0.0000		0.6765		0.00015389
148		0.1349		0.2567		0.0000		0.6872		0.00015132
149		0.1356		0.2662		0.0000		0.6701		0.00014875
150		0.1367		0.2486		0.0000		0.6879		0.00014617
151		0.1328		0.2630		0.0000		0.6818		0.00014359
152		0.1500		0.2633		0.0000		0.6779		0.00014100
153		0.1448		0.2508		0.0000		0.6825		0.00013841
154		0.1339		0.2557		0.0000		0.6845		0.00013581
155		0.1311		0.2541		0.0000		0.6822		0.00013321
156		0.1319		0.2561		0.0000		0.6794		0.00013060
157		0.1428		0.2551		0.0000		0.6796		0.00012798
158		0.1335		0.2498		0.0000		0.6919		0.00012536
159		0.1340		0.2534		0.0000		0.6864		0.00012273
160		0.1290		0.2532		0.0000		0.6922		0.00012010
161		0.1290		0.2614		0.0000		0.6863		0.00011746
162		0.1295		0.2752		0.0000		0.6563		0.00011482
163		0.1297		0.2507		0.0000		0.6915		0.00011216
164		0.1293		0.2591		0.0000		0.6874		0.00010950
165		0.1296		0.2579		0.0000		0.6767		0.00010684
166		0.1328		0.2671		0.0000		0.6771		0.00010416
167		0.1280		0.2593		0.0000		0.6869		0.00010148
168		0.1268		0.2604		0.0000		0.6830		0.00009879
169		0.1271		0.2617		0.0000		0.6769		0.00009609
170		0.1248		0.2563		0.0000		0.6898		0.00009338
171		0.1247		0.2567		0.0000		0.6926		0.00009067
172		0.1246		0.2690		0.0000		0.6775		0.00008794
173		0.1277		0.2573		0.0000		0.6824		0.00008521
174		0.1251		0.2531		0.0000		0.6914		0.00008247
175		0.1231		0.2565		0.0000		0.6857		0.00007971
176		0.1233		0.2578		0.0000		0.6927		0.00007695
177		0.1224		0.2524		0.0000		0.6942		0.00007417
178		0.1221		0.3105		0.0000		0.6338		0.00007138
179		0.1266		0.2591		0.0000		0.6857		0.00006858
180		0.1202		0.2628		0.0000		0.6831		0.00006577
181		0.1201		0.2579		0.0000		0.6945		0.00006295
182		0.1197		0.2554		0.0000		0.6908		0.00006011
183		0.1195		0.2610		0.0000		0.6923		0.00005725
184		0.1190		0.2680		0.0000		0.6932		0.00005438
185		0.1193		0.2654		0.0000		0.6875		0.00005149
186		0.1178		0.2667		0.0000		0.6888		0.00004859
187		0.1175		0.2551		0.0000		0.6945		0.00004566
188		0.1170		0.2643		0.0000		0.6939		0.00004272
189		0.1170		0.2595		0.0000		0.6941		0.00003975
190		0.1169		0.2653		0.0000		0.6922		0.00003675
191		0.1161		0.2651		0.0000		0.6917		0.00003373
192		0.1155		0.2615		0.0000		0.6968		0.00003068
193		0.1152		0.2578		0.0000		0.6966		0.00002759
194		0.1147		0.2582		0.0000		0.6983		0.00002447
195		0.1146		0.2656		0.0000		0.6952		0.00002130
196		0.1142		0.2710		0.0000		0.6937		0.00001808
197		0.1138		0.2662		0.0000		0.6962		0.00001479
198		0.1135		0.2647		0.0000		0.6970		0.00001141
199		0.1130		0.2632		0.0000		0.6972		0.00000792
200		0.1129		0.2615		0.0000		0.6977		0.00000425
